ID Year,Year,ID Health Coverage,Health Coverage,ID Gender,Gender,Health Insurance by Gender and Age,Geography,ID Geography,Slug Geography,Share
2022,"2022",0,"Private",0,"Male",2418265,"New York, NY","16000US3651000","new-york-ny",48.3443475597676
2022,"2022",0,"Private",1,"Female",2583902,"New York, NY","16000US3651000","new-york-ny",51.6556524402324
2022,"2022",1,"Public",0,"Male",1733648,"New York, NY","16000US3651000","new-york-ny",45.55612753155218
2022,"2022",1,"Public",1,"Female",2071873,"New York, NY","16000US3651000","new-york-ny",54.44387246844782
2021,"2021",0,"Private",0,"Male",2453674,"New York, NY","16000US3651000","new-york-ny",48.13632354418301
2021,"2021",0,"Private",1,"Female",2643670,"New York, NY","16000US3651000","new-york-ny",51.863676455816986
2021,"2021",1,"Public",0,"Male",1719650,"New York, NY","16000US3651000","new-york-ny",45.48024750521807
2021,"2021",1,"Public",1,"Female",2061442,"New York, NY","16000US3651000","new-york-ny",54.519752494781926
2020,"2020",0,"Private",0,"Male",2359355,"New York, NY","16000US3651000","new-york-ny",47.96750248492829
2020,"2020",0,"Private",1,"Female",2559298,"New York, NY","16000US3651000","new-york-ny",52.03249751507171
2020,"2020",1,"Public",0,"Male",1609542,"New York, NY","16000US3651000","new-york-ny",44.92288369756343
2020,"2020",1,"Public",1,"Female",1973358,"New York, NY","16000US3651000","new-york-ny",55.077116302436565
2019,"2019",0,"Private",0,"Male",2338564,"New York, NY","16000US3651000","new-york-ny",47.99140385328515
2019,"2019",0,"Private",1,"Female",2534317,"New York, NY","16000US3651000","new-york-ny",52.00859614671485
2019,"2019",1,"Public",0,"Male",1608698,"New York, NY","16000US3651000","new-york-ny",44.736334224520114
2019,"2019",1,"Public",1,"Female",1987256,"New York, NY","16000US3651000","new-york-ny",55.263665775479886
2018,"2018",0,"Private",0,"Male",2308731,"New York, NY","16000US3651000","new-york-ny",47.91347673217334
2018,"2018",0,"Private",1,"Female",2509811,"New York, NY","16000US3651000","new-york-ny",52.08652326782666
2018,"2018",1,"Public",0,"Male",1600849,"New York, NY","16000US3651000","new-york-ny",44.680533358936586
2018,"2018",1,"Public",1,"Female",1982029,"New York, NY","16000US3651000","new-york-ny",55.31946664106341
2017,"2017",0,"Private",0,"Male",2298022,"New York, NY","16000US3651000","new-york-ny",47.77734556349596
2017,"2017",0,"Private",1,"Female",2511835,"New York, NY","16000US3651000","new-york-ny",52.22265443650404
2017,"2017",1,"Public",0,"Male",1588133,"New York, NY","16000US3651000","new-york-ny",44.5339441936582
2017,"2017",1,"Public",1,"Female",1977985,"New York, NY","16000US3651000","new-york-ny",55.4660558063418
2016,"2016",0,"Private",0,"Male",2236772,"New York, NY","16000US3651000","new-york-ny",47.730815996339906
2016,"2016",0,"Private",1,"Female",2449450,"New York, NY","16000US3651000","new-york-ny",52.269184003660094
2016,"2016",1,"Public",0,"Male",1534964,"New York, NY","16000US3651000","new-york-ny",44.4227068735839
2016,"2016",1,"Public",1,"Female",1920395,"New York, NY","16000US3651000","new-york-ny",55.577293126416095
2015,"2015",0,"Private",0,"Male",2189390,"New York, NY","16000US3651000","new-york-ny",47.60151949857938
2015,"2015",0,"Private",1,"Female",2410022,"New York, NY","16000US3651000","new-york-ny",52.39848050142062
2015,"2015",1,"Public",0,"Male",1493443,"New York, NY","16000US3651000","new-york-ny",44.3003174853664
2015,"2015",1,"Public",1,"Female",1877736,"New York, NY","16000US3651000","new-york-ny",55.69968251463361
2014,"2014",0,"Private",0,"Male",2150068,"New York, NY","16000US3651000","new-york-ny",47.38103549190097
2014,"2014",0,"Private",1,"Female",2387756,"New York, NY","16000US3651000","new-york-ny",52.61896450809903
2014,"2014",1,"Public",0,"Male",1448097,"New York, NY","16000US3651000","new-york-ny",44.24850717126142
2014,"2014",1,"Public",1,"Female",1824549,"New York, NY","16000US3651000","new-york-ny",55.75149282873858
2013,"2013",0,"Private",0,"Male",2128767,"New York, NY","16000US3651000","new-york-ny",47.1944914076228
2013,"2013",0,"Private",1,"Female",2381859,"New York, NY","16000US3651000","new-york-ny",52.8055085923772
2013,"2013",1,"Public",0,"Male",1399873,"New York, NY","16000US3651000","new-york-ny",44.116346620806716
2013,"2013",1,"Public",1,"Female",1773266,"New York, NY","16000US3651000","new-york-ny",55.88365337919329
